Feature,Importance
Eliminations,0.13580000000000003
Deaths,0.11639999999999995
Assists,0.03079999999999994
Objective Time,0.016000000000000014
Time Building Ultimate,0.010399999999999965
Damage Taken,0.008399999999999963
Hero Damage Done,0.0048000000000000265
Time Holding Ultimate,0.0041999999999999815
Barrier Damage Done,0.0013999999999999568
Shots Fired,-0.0006000000000000449
Weapon Accuracy,-0.0011999999999999789
Ultimates Used,-0.0021999999999999797
Time Elapsed per Ultimate Earned,-0.0028000000000000247
